case_id,repeat_index,objective,expected_family,planner_status,planner_family,planner_family_correct,planner_bindings_correct,planner_outcome_correct,dataset_selection_applicable,dataset_selection_correct,expected_dataset_filenames,actual_dataset_filenames,planner_attempt_count,planner_retry_count,planner_first_pass,planner_recovered_after_retry,planner_retry_class,planner_normalization_count,expected_tool,requested_tool,tool_selection_correct,tool_arguments_correct,tool_attempt_count,tool_retry_count,tool_first_pass,tool_recovered_after_retry,should_execute,execution_observed,execution_correct,chart_type_expected,chart_type_observed,chart_type_correct,guardrail_correct,case_pass,latency_seconds,planner_rule_version,native_tool_rule_version,pipeline_rule_version,failure_reasons
hard_multi_dataset_unspecified,1,Analyser la distribution de revenue.,distribution,ambiguous,distribution,True,True,True,False,True,,,1,0,True,False,none,1,,,True,True,0,0,True,False,False,False,True,,,True,True,True,3.5723,ai_analytical_planner_v0.14,,ai_native_pipeline_v0.2,
hard_multi_dataset_cross_compare,1,Compare revenue between online_sales.csv and retail_sales.csv.,unresolved,blocked,unresolved,True,True,True,False,True,,,1,0,True,False,none,0,,,True,True,0,0,True,False,False,False,True,,,True,True,True,3.6473,ai_analytical_planner_v0.14,,ai_native_pipeline_v0.2,
hard_exact_revenue_distribution,2,Analyser la distribution de revenue.,distribution,validated,distribution,True,True,True,True,True,semantic_collision_benchmark.csv,semantic_collision_benchmark.csv,1,0,True,False,none,1,run_distribution,run_distribution,True,True,1,0,True,False,True,True,True,histogram,histogram,True,True,True,3.7632,ai_analytical_planner_v0.14,native_tool_calling_v0.6,ai_native_pipeline_v0.2,
hard_exact_net_revenue_distribution,2,Analyser la distribution de net_revenue.,distribution,validated,distribution,True,True,True,True,True,semantic_collision_benchmark.csv,semantic_collision_benchmark.csv,1,0,True,False,none,1,run_distribution,run_distribution,True,True,1,0,True,False,True,True,True,histogram,histogram,True,True,True,3.8769,ai_analytical_planner_v0.14,native_tool_calling_v0.6,ai_native_pipeline_v0.2,
hard_exact_profit_margin_distribution,2,Show me the distribution of profit_margin.,distribution,validated,distribution,True,True,True,True,True,semantic_collision_benchmark.csv,semantic_collision_benchmark.csv,1,0,True,False,none,2,run_distribution,run_distribution,True,True,1,0,True,False,True,True,True,histogram,histogram,True,True,True,3.8245,ai_analytical_planner_v0.14,native_tool_calling_v0.6,ai_native_pipeline_v0.2,
hard_missing_margin_no_substitution,2,Show me the distribution of margin.,distribution,blocked,distribution,True,True,True,False,True,,,2,1,False,True,guardrail_abstention,0,,,True,True,0,0,True,False,False,False,True,,,True,True,True,7.9356,ai_analytical_planner_v0.14,,ai_native_pipeline_v0.2,
hard_time_order_date_exact,2,Track median revenue over order_date.,time_series,validated,time_series,True,True,True,True,True,semantic_collision_benchmark.csv,semantic_collision_benchmark.csv,1,0,True,False,none,2,run_time_series,run_time_series,True,True,1,0,True,False,True,True,True,line_band,line_band,True,True,True,4.2265,ai_analytical_planner_v0.14,native_tool_calling_v0.6,ai_native_pipeline_v0.2,
hard_time_fiscal_period_exact,2,Analyser l'évolution de la médiane de revenue selon fiscal_period.,time_series,validated,time_series,True,True,True,True,True,semantic_collision_benchmark.csv,semantic_collision_benchmark.csv,1,0,True,False,none,2,run_time_series,run_time_series,True,True,1,0,True,False,True,True,True,line_band,line_band,True,True,True,4.0803,ai_analytical_planner_v0.14,native_tool_calling_v0.6,ai_native_pipeline_v0.2,
hard_group_gross_profit_region,2,Comparer gross_profit selon region.,group_comparison,validated,group_comparison,True,True,True,True,True,semantic_collision_benchmark.csv,semantic_collision_benchmark.csv,1,0,True,False,none,2,run_group_comparison,run_group_comparison,True,True,1,0,True,False,True,True,True,boxplot,boxplot,True,True,True,3.8875,ai_analytical_planner_v0.14,native_tool_calling_v0.6,ai_native_pipeline_v0.2,
hard_categorical_returned_channel,2,Does returned depend on channel?,categorical_association,validated,categorical_association,True,True,True,True,True,semantic_collision_benchmark.csv,semantic_collision_benchmark.csv,1,0,True,False,none,1,run_categorical_association,run_categorical_association,True,True,1,0,True,False,True,True,True,heatmap,heatmap,True,True,True,3.7984,ai_analytical_planner_v0.14,native_tool_calling_v0.6,ai_native_pipeline_v0.2,
hard_mixed_revenue_region,2,Est-ce que revenue diffère selon region ?,group_comparison,validated,group_comparison,True,True,True,True,True,semantic_collision_benchmark.csv,semantic_collision_benchmark.csv,1,0,True,False,none,3,run_group_comparison,run_group_comparison,True,True,1,0,True,False,True,True,True,boxplot,boxplot,True,True,True,3.8627,ai_analytical_planner_v0.14,native_tool_calling_v0.6,ai_native_pipeline_v0.2,
hard_unsupported_categorical_distribution,2,Analyser la distribution de region.,distribution,rejected,distribution,True,True,True,False,True,,,2,1,False,True,guardrail_abstention,1,,,True,True,0,0,True,False,False,False,True,,,True,True,True,7.2934,ai_analytical_planner_v0.14,,ai_native_pipeline_v0.2,
hard_ambiguous_performance_region,2,Analyse la performance par region.,unresolved,ambiguous,group_comparison,True,True,True,False,True,,,1,0,True,False,none,3,,,True,True,0,0,True,False,False,False,True,,,True,True,True,3.5302,ai_analytical_planner_v0.14,,ai_native_pipeline_v0.2,
hard_ambiguous_results_over_time,2,Montre-moi l'évolution des résultats.,unresolved,rejected,time_series,True,True,True,False,True,,,2,1,False,True,guardrail_abstention,0,,,True,True,0,0,True,False,False,False,True,,,True,True,True,7.6808,ai_analytical_planner_v0.14,,ai_native_pipeline_v0.2,
hard_multi_dataset_online_explicit,2,"Dans le dataset online_sales.csv, analyse la distribution de revenue.",distribution,validated,distribution,True,True,True,True,True,online_sales.csv,online_sales.csv,1,0,True,False,none,1,run_distribution,run_distribution,True,True,1,0,True,False,True,True,True,histogram,histogram,True,True,True,3.7167,ai_analytical_planner_v0.14,native_tool_calling_v0.6,ai_native_pipeline_v0.2,
hard_multi_dataset_retail_explicit,2,"In dataset retail_sales.csv, track median revenue over order_date.",time_series,validated,time_series,True,True,True,True,True,retail_sales.csv,retail_sales.csv,1,0,True,False,none,0,run_time_series,run_time_series,True,True,1,0,True,False,True,True,True,line_band,line_band,True,True,True,4.3052,ai_analytical_planner_v0.14,native_tool_calling_v0.6,ai_native_pipeline_v0.2,
hard_multi_dataset_unspecified,2,Analyser la distribution de revenue.,distribution,ambiguous,distribution,True,True,True,False,True,,,1,0,True,False,none,1,,,True,True,0,0,True,False,False,False,True,,,True,True,True,3.4868,ai_analytical_planner_v0.14,,ai_native_pipeline_v0.2,
hard_multi_dataset_cross_compare,2,Compare revenue between online_sales.csv and retail_sales.csv.,unresolved,blocked,unresolved,True,True,True,False,True,,,1,0,True,False,none,0,,,True,True,0,0,True,False,False,False,True,,,True,True,True,3.7354,ai_analytical_planner_v0.14,,ai_native_pipeline_v0.2,
hard_exact_revenue_distribution,3,Analyser la distribution de revenue.,distribution,validated,distribution,True,True,True,True,True,semantic_collision_benchmark.csv,semantic_collision_benchmark.csv,1,0,True,False,none,1,run_distribution,run_distribution,True,True,1,0,True,False,True,True,True,histogram,histogram,True,True,True,4.0202,ai_analytical_planner_v0.14,native_tool_calling_v0.6,ai_native_pipeline_v0.2,
hard_exact_net_revenue_distribution,3,Analyser la distribution de net_revenue.,distribution,validated,distribution,True,True,True,True,True,semantic_collision_benchmark.csv,semantic_collision_benchmark.csv,1,0,True,False,none,1,run_distribution,run_distribution,True,True,1,0,True,False,True,True,True,histogram,histogram,True,True,True,4.0794,ai_analytical_planner_v0.14,native_tool_calling_v0.6,ai_native_pipeline_v0.2,
hard_exact_profit_margin_distribution,3,Show me the distribution of profit_margin.,distribution,validated,distribution,True,True,True,True,True,semantic_collision_benchmark.csv,semantic_collision_benchmark.csv,1,0,True,False,none,2,run_distribution,run_distribution,True,True,1,0,True,False,True,True,True,histogram,histogram,True,True,True,3.9525,ai_analytical_planner_v0.14,native_tool_calling_v0.6,ai_native_pipeline_v0.2,
hard_missing_margin_no_substitution,3,Show me the distribution of margin.,distribution,blocked,distribution,True,True,True,False,True,,,2,1,False,True,guardrail_abstention,0,,,True,True,0,0,True,False,False,False,True,,,True,True,True,8.1026,ai_analytical_planner_v0.14,,ai_native_pipeline_v0.2,
hard_time_order_date_exact,3,Track median revenue over order_date.,time_series,validated,time_series,True,True,True,True,True,semantic_collision_benchmark.csv,semantic_collision_benchmark.csv,1,0,True,False,none,2,run_time_series,run_time_series,True,True,1,0,True,False,True,True,True,line_band,line_band,True,True,True,4.2563,ai_analytical_planner_v0.14,native_tool_calling_v0.6,ai_native_pipeline_v0.2,
hard_time_fiscal_period_exact,3,Analyser l'évolution de la médiane de revenue selon fiscal_period.,time_series,validated,time_series,True,True,True,True,True,semantic_collision_benchmark.csv,semantic_collision_benchmark.csv,1,0,True,False,none,2,run_time_series,run_time_series,True,True,1,0,True,False,True,True,True,line_band,line_band,True,True,True,4.1729,ai_analytical_planner_v0.14,native_tool_calling_v0.6,ai_native_pipeline_v0.2,
hard_group_gross_profit_region,3,Comparer gross_profit selon region.,group_comparison,validated,group_comparison,True,True,True,True,True,semantic_collision_benchmark.csv,semantic_collision_benchmark.csv,1,0,True,False,none,2,run_group_comparison,run_group_comparison,True,True,1,0,True,False,True,True,True,boxplot,boxplot,True,True,True,4.0251,ai_analytical_planner_v0.14,native_tool_calling_v0.6,ai_native_pipeline_v0.2,
hard_categorical_returned_channel,3,Does returned depend on channel?,categorical_association,validated,categorical_association,True,True,True,True,True,semantic_collision_benchmark.csv,semantic_collision_benchmark.csv,1,0,True,False,none,1,run_categorical_association,run_categorical_association,True,True,1,0,True,False,True,True,True,heatmap,heatmap,True,True,True,4.0712,ai_analytical_planner_v0.14,native_tool_calling_v0.6,ai_native_pipeline_v0.2,
hard_mixed_revenue_region,3,Est-ce que revenue diffère selon region ?,group_comparison,validated,group_comparison,True,True,True,True,True,semantic_collision_benchmark.csv,semantic_collision_benchmark.csv,1,0,True,False,none,3,run_group_comparison,run_group_comparison,True,True,1,0,True,False,True,True,True,boxplot,boxplot,True,True,True,3.9997,ai_analytical_planner_v0.14,native_tool_calling_v0.6,ai_native_pipeline_v0.2,
hard_unsupported_categorical_distribution,3,Analyser la distribution de region.,distribution,rejected,distribution,True,True,True,False,True,,,2,1,False,True,guardrail_abstention,1,,,True,True,0,0,True,False,False,False,True,,,True,True,True,7.5321,ai_analytical_planner_v0.14,,ai_native_pipeline_v0.2,
hard_ambiguous_performance_region,3,Analyse la performance par region.,unresolved,ambiguous,group_comparison,True,True,True,False,True,,,1,0,True,False,none,3,,,True,True,0,0,True,False,False,False,True,,,True,True,True,3.5495,ai_analytical_planner_v0.14,,ai_native_pipeline_v0.2,
hard_ambiguous_results_over_time,3,Montre-moi l'évolution des résultats.,unresolved,rejected,time_series,True,True,True,False,True,,,2,1,False,True,guardrail_abstention,0,,,True,True,0,0,True,False,False,False,True,,,True,True,True,7.7182,ai_analytical_planner_v0.14,,ai_native_pipeline_v0.2,
hard_multi_dataset_online_explicit,3,"Dans le dataset online_sales.csv, analyse la distribution de revenue.",distribution,validated,distribution,True,True,True,True,True,online_sales.csv,online_sales.csv,1,0,True,False,none,1,run_distribution,run_distribution,True,True,1,0,True,False,True,True,True,histogram,histogram,True,True,True,3.7691,ai_analytical_planner_v0.14,native_tool_calling_v0.6,ai_native_pipeline_v0.2,
hard_multi_dataset_retail_explicit,3,"In dataset retail_sales.csv, track median revenue over order_date.",time_series,validated,time_series,True,True,True,True,True,retail_sales.csv,retail_sales.csv,1,0,True,False,none,0,run_time_series,run_time_series,True,True,1,0,True,False,True,True,True,line_band,line_band,True,True,True,4.2966,ai_analytical_planner_v0.14,native_tool_calling_v0.6,ai_native_pipeline_v0.2,
hard_multi_dataset_unspecified,3,Analyser la distribution de revenue.,distribution,ambiguous,distribution,True,True,True,False,True,,,1,0,True,False,none,1,,,True,True,0,0,True,False,False,False,True,,,True,True,True,3.4715,ai_analytical_planner_v0.14,,ai_native_pipeline_v0.2,
hard_multi_dataset_cross_compare,3,Compare revenue between online_sales.csv and retail_sales.csv.,unresolved,blocked,unresolved,True,True,True,False,True,,,1,0,True,False,none,0,,,True,True,0,0,True,False,False,False,True,,,True,True,True,3.683,ai_analytical_planner_v0.14,,ai_native_pipeline_v0.2,
